sensor,freq,R_ohm,L_uH,C_pF
BP01_ABK,1k,10.22,67.68,0
BP01_ABK,10k,8.809,67.41,0
BP01_ABK,100k,8.915,67.82,0
BP02_ABK,1k,10.05,67.84,0
BP02_ABK,10k,9.336,67.55,0
BP02_ABK,100k,9.01,67.96,0
BP02_GHK,1k,9.13,67.87,0
BP02_GHK,10k,8.73,67.49,0
BP02_GHK,100k,8.665,67.96,0
BP03_ABK,1k,9.49,68.67,0
BP03_ABK,10k,8.612,68.41,0
BP03_ABK,100k,8.714,68.81,0
BP04_ABK,1k,9.41,65.97,0
BP04_ABK,10k,8.565,65.7,0
BP04_ABK,100k,8.664,66.11,0
BP04_GHK,1k,8.032,67.5,0
BP04_GHK,10k,8.288,67.93,0
BP05_ABK,1k,9.65,67.06,0
BP05_ABK,10k,8.667,66.81,0
BP05_ABK,100k,8.747,67.22,0
BP05_GHK,1k,8.97,68.21,0
BP05_GHK,10k,7.944,67.9,0
BP05_GHK,100k,8.333,68.32,0
BP06_ABK,1k,11.36,66.96,0
BP06_ABK,10k,8.974,66.72,0
BP06_ABK,100k,8.86,67.12,0
BP06_GHK,1k,7.89,67.75,0
BP06_GHK,10k,8.178,68.18,0
BP07_ABK,1k,8.98,67.06,0
BP07_ABK,10k,8.407,66.79,0
BP07_ABK,100k,8.477,67.2,0
BP07_GHK,1k,7.962,67.94,0
BP07_GHK,10k,8.218,68.36,0
BP08_ABK,1k,9.04,68.54,0
BP08_ABK,10k,8.568,68.26,0
BP08_ABK,100k,8.856,68.66,0
BP08_GHK,1k,7.996,67.99,0
BP08_GHK,10k,8.246,68.43,0
BP09_ABK,1k,8.93,66.23,0
BP09_ABK,10k,8.162,65.97,0
BP09_ABK,100k,8.294,66.37,0
BP10_GHK,1k,8.09,67.69,0
BP10_GHK,10k,8.211,68.12,0
BP11_ABK,1k,9.77,66.91,0
BP11_ABK,10k,9.367,66.62,0
BP11_ABK,100k,9.413,67.02,0
BP11_GHK,1k,8.078,67.21,0
BP11_GHK,10k,8.198,67.65,0
BP12_ABK,1k,9.9,69.9,0
BP12_ABK,10k,9.517,69.61,0
BP12_ABK,100k,9.87,70.01,0
BP12_GHK,1k,12.855,65.12,0
BP12_GHK,10k,9.973,65.62,0
BP13_ABK,1k,9.071,67.17,0
BP13_ABK,10k,8.828,67.57,0
BP13_GHK,1k,9.167,67.93,0
BP13_GHK,10k,26.67,68.65,0
BP14_ABK,1k,8.378,67.05,0
BP14_ABK,10k,8.487,67.44,0
BP14_GHK,1k,8.754,66.02,0
BP14_GHK,10k,10.52,66.51,0
BP15_ABK,1k,8.35,66.48,0
BP15_ABK,10k,8.46,66.89,0
BP16_GHK,1k,24.79,66.27,0
BP17_ABK,1k,8.447,68.46,0
BP17_ABK,10k,8.564,68.86,0
BP17_GHK,1k,12.96,65.47,0
BP18_ABK,1k,8.439,67.5,0
BP18_ABK,10k,8.564,67.9,0
BP19_ABK,1k,9.238,66.9,0
BP19_ABK,10k,9.557,67.3,0
BP19_GHK,1k,12.88,67.04,0
BP1T_ABK,1k,8.724,67.085,0
BP1T_ABK,10k,8.787,65.77,0
BP1T_ABK,100k,14.756,57.3,0
BP1T_GHK,1k,7.645,68,0
BP1T_GHK,10k,7.835,65.61,0
BP1T_GHK,100k,14.319,57.25,0
BP20_ABK,1k,9.186,66.28,0
BP20_ABK,10k,9.551,66.68,0
BP20_GHK,1k,11.53,67.19,0
BP21_ABK,1k,10.908,68.11,0
BP21_ABK,10k,11.157,68.51,0
BP21_GHK,1k,11.84,67.64,0
BP22_ABK,1k,8.867,65.5,0
BP22_ABK,10k,8.966,65.91,0
BP22_GHK,1k,11.16,67.29,0
BP23_ABK,1k,10.57,69.85,0
BP23_ABK,10k,8.969,69.59,0
BP23_ABK,100k,9.004,70,0
BP24_ABK,1k,9.042,68.34,0
BP24_ABK,10k,9.171,68.74,0
BP24_GHK,1k,12.01,67.25,0
BP25_GHK,1k,11.51,67.5,0
BP26_GHK,1k,11.65,65.71,0
BP28_GHK,1k,11.93,65.39,0
BP29_GHK,1k,24.97,65.86,0
BP2T_ABK,1k,8.701,67.655,0
BP2T_ABK,10k,8.767,65.9,0
BP2T_ABK,100k,14.964,57.04,0
BP2T_GHK,1k,8.573,67.815,0
BP2T_GHK,10k,8.827,66.24,0
BP2T_GHK,100k,15.452,57.53,0
BP3T_ABK,1k,8.7145,68.035,0
BP3T_ABK,10k,8.76,66.68,0
BP3T_ABK,100k,15.387,58.47,0
BP3T_GHK,1k,19.5015,67.87,0
BP3T_GHK,10k,8.2,66.04,0
BP3T_GHK,100k,14.732,57.68,0
BP4T_ABK,1k,8.515,67.28,0
BP4T_ABK,10k,8.496,66.16,0
BP4T_ABK,100k,14.941,58.18,0
BP5T_ABK,1k,10.748,67.26,0
BP5T_ABK,10k,10.458,66.13,0
BP5T_ABK,100k,17.262,58.64,0
BP5T_GHK,1k,8.136,58.75,0
BP6T_ABK,1k,17.4975,67.83,0
BP6T_ABK,10k,16.032,66.36,0
BP6T_ABK,100k,22.71,58.14,0
BP6T_GHK,1k,15.333,61.12,0
BP_AB_TOP,1k,5.699,63.635,0
