PBS L2:L3,Sensor,s1 [mm],T1 [deg],R1 [mm],X1 [mm],Y1 [mm],Z1 [mm],P1 [deg],s2 [mm],T2 [deg],R2 [mm],X2 [mm],Y2 [mm],Z2 [mm],Nturns,Turn Area [mm^2]
MAGX:BPMX,BP-IOL1-010U,3440,2.5,1240,1238.82,54.09,662.97,270,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-IOL1-010L,-3440,2.5,1240,1238.82,54.09,-662.97,270,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-IOL1-110U,3440,102.5,1240,-268.39,1210.61,662.97,270,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-IOL1-110L,-3440,102.5,1240,-268.39,1210.61,-662.97,270,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-IOL1-190U,3440,182.5,1240,-1238.82,-54.09,662.97,270,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-IOL1-190L,-3440,182.5,1240,-1238.82,-54.09,-662.97,270,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-IOL1-290U,3440,282.5,1240,268.39,-1210.61,662.97,270,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-IOL1-290L,-3440,282.5,1240,268.39,-1210.61,-662.97,270,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-IOL2-010U,3225.75,2.5,1240,1238.82,54.09,877.22,270,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-IOL2-010L,-3225.75,2.5,1240,1238.82,54.09,-877.22,270,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-IOL2-110U,3225.75,102.5,1240,-268.39,1210.61,877.22,270,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-IOL2-110L,-3225.75,102.5,1240,-268.39,1210.61,-877.22,270,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-IOL2-190U,3225.75,182.5,1240,-1238.82,-54.09,877.22,270,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-IOL2-190L,-3225.75,182.5,1240,-1238.82,-54.09,-877.22,270,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-IOL2-290U,3225.75,282.5,1240,268.39,-1210.61,877.22,270,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-IOL2-290L,-3225.75,282.5,1240,268.39,-1210.61,-877.22,270,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-DVT1-010U,2994.99,2.5,1240,1238.82,54.09,1107.98,270,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-DVT1-010L,-2994.99,2.5,1240,1238.82,54.09,-1107.98,270,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-DVT1-110U,2994.99,102.5,1240,-268.39,1210.61,1107.98,270,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-DVT1-110L,-2994.99,102.5,1240,-268.39,1210.61,-1107.98,270,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-DVT1-190U,2994.99,182.5,1240,-1238.82,-54.09,1107.98,270,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-DVT1-190L,-2994.99,182.5,1240,-1238.82,-54.09,-1107.98,270,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-DVT1-290U,2994.99,282.5,1240,268.39,-1210.61,1107.98,270,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-DVT1-290L,-2994.99,282.5,1240,268.39,-1210.61,-1107.98,270,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-DT23-010U,2699.95,2.5,1359.91,1358.61,59.32,1359.55,225.81,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-DT23-010L,-2699.95,2.5,1359.91,1358.61,59.32,-1359.55,314.19,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-DT23-110U,2699.95,102.5,1359.91,-294.34,1327.67,1359.55,225.81,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-DT23-110L,-2699.95,102.5,1359.91,-294.34,1327.67,-1359.55,314.19,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-DT23-190U,2699.95,182.5,1359.91,-1358.61,-59.32,1359.55,225.81,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-DT23-190L,-2699.95,182.5,1359.91,-1358.61,-59.32,-1359.55,314.19,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-DT23-290U,2699.95,282.5,1359.91,294.34,-1327.67,1359.55,225.81,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-DT23-290L,-2699.95,282.5,1359.91,294.34,-1327.67,-1359.55,314.19,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-DVT4-010U,2427.05,2.5,1550.12,1548.65,67.62,1555.24,225.81,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-DVT4-010L,-2427.05,2.5,1550.12,1548.65,67.62,-1555.24,314.19,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-DVT4-110U,2427.05,102.5,1550.12,-335.51,1513.38,1555.24,225.81,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-DVT4-110L,-2427.05,102.5,1550.12,-335.51,1513.38,-1555.24,314.19,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-DVT4-190U,2427.05,182.5,1550.12,-1548.65,-67.62,1555.24,225.81,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-DVT4-190L,-2427.05,182.5,1550.12,-1548.65,-67.62,-1555.24,314.19,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-DVT4-290U,2427.05,282.5,1550.12,335.51,-1513.38,1555.24,225.81,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-DVT4-290L,-2427.05,282.5,1550.12,335.51,-1513.38,-1555.24,314.19,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-DT5B-010U,2182.5,2.5,1758.36,1756.68,76.7,1655,180,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-DT5B-010L,-2182.5,2.5,1758.36,1756.68,76.7,-1655,0,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-DT5B-110U,2182.5,102.5,1758.36,-380.58,1716.68,1655,180,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-DT5B-110L,-2182.5,102.5,1758.36,-380.58,1716.68,-1655,0,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-DT5B-190U,2182.5,182.5,1758.36,-1756.68,-76.7,1655,180,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-DT5B-190L,-2182.5,182.5,1758.36,-1756.68,-76.7,-1655,0,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-DT5B-290U,2182.5,282.5,1758.36,380.58,-1716.68,1655,180,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-DT5B-290L,-2182.5,282.5,1758.36,380.58,-1716.68,-1655,0,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-DT5C-010U,1924.05,2.5,1900,1898.19,82.88,1503.64,90,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-DT5C-010L,-1924.05,2.5,1900,1898.19,82.88,-1503.64,90,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-DT5C-110U,1924.05,102.5,1900,-411.24,1854.96,1503.64,90,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-DT5C-110L,-1924.05,102.5,1900,-411.24,1854.96,-1503.64,90,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-DT5C-190U,1924.05,182.5,1900,-1898.19,-82.88,1503.64,90,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-DT5C-190L,-1924.05,182.5,1900,-1898.19,-82.88,-1503.64,90,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-DT5C-290U,1924.05,282.5,1900,411.24,-1854.96,1503.64,90,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-DT5C-290L,-1924.05,282.5,1900,411.24,-1854.96,-1503.64,90,nan,nan,nan,nan,nan,nan,50,157.1
MAGX:BPMX,BP-DVT6-010U,1665.74,2.5,1900,1898.19,82.88,1245.33,90,nan,nan,nan,nan,nan,nan,50,157.1
