burst_id,dominant_time_s,dominant_freq_hz,omega_star_e_q1,omega_star_i_q1,omega_tor_q1,omega_tor_q1_err,omega_tor_q1_snr,shot,target_n,target_m,target_mode_label
0,0.7971930379746834,8031.645569620253,52051.32886684274,0.0,-1.392658070281681,0.1188272884984447,11.720018927301444,1121001018,-1.0,,"(-3,-1)|(-2,-1)"
4,0.8271404494382022,9870.786516853932,53131.037920987554,0.0,-0.8542420071417174,0.01784929917118422,47.85857410697668,1121001018,-1.0,,"(-3,-1)|(-2,-1)"
14,0.9072868852459016,9092.896174863388,151438.13480487792,0.0,-0.43063650105573337,0.02296879197252868,18.748765784930555,1121001018,-1.0,,"(-3,-1)|(-2,-1)"
17,0.93367,11093.333333333334,168465.94307177025,0.0,-1.071233919688901,0.46932692270963516,2.2824898122276607,1121001018,-1.0,,"(-3,-1)|(-2,-1)"
20,0.9623439999999998,10160.0,189076.14571926458,0.0,-0.7120984249258833,0.033165912236226586,21.470792657651362,1121001018,-1.0,,"(-3,-1)|(-2,-1)"
21,0.9703828571428572,9480.0,138278.58297479356,0.0,-1.144450344465036,0.07985281513731542,14.331997469306897,1121001018,-1.0,,"(-3,-1)|(-2,-1)"
22,0.9792025380710659,12274.111675126904,28340.519706988154,0.0,-0.8672763097634546,0.022704359598232915,38.19866867466964,1121001018,-1.0,,"(-3,-1)|(-2,-1)"
29,1.0366273809523812,9583.333333333334,4131.577287131063,0.0,0.2551911281925455,0.02074122423786868,12.30357115211288,1121001018,-1.0,,"(-3,-1)|(-2,-1)"
30,1.0445554838709676,10090.322580645161,5880.54050348153,0.0,0.4291123350264845,0.08879478991866047,4.832629655631466,1121001018,-1.0,,"(-3,-1)|(-2,-1)"
34,1.0768471204188481,10869.10994764398,60044.992020238904,0.0,-0.5036728715774184,0.04030114516553556,12.497731007607834,1121001018,-1.0,,"(-3,-1)|(-2,-1)"
35,1.085074087591241,10262.773722627737,97907.06572932322,0.0,-0.48989162391605645,0.0879214079493694,5.571926511893059,1121001018,-1.0,,"(-3,-1)|(-2,-1)"
36,1.0949261904761902,10327.380952380952,94027.51146506282,0.0,6.441664392994935,1.624725164222708,3.964771725608571,1121001018,-1.0,,"(-3,-1)|(-2,-1)"
37,1.1036745341614906,10633.540372670808,78953.86656612883,0.0,8.685856980033206,2.549175606956187,3.4073199807542687,1121001018,-1.0,,"(-3,-1)|(-2,-1)"
39,1.1199758241758242,10791.208791208792,12391.621479664998,0.0,-0.5108332027931711,0.33627248058277426,1.5191049886326584,1121001018,-1.0,,"(-3,-1)|(-2,-1)"
43,1.149946195652174,10331.521739130434,5334.867688359809,0.0,-1.530093399391549,0.08309654325268334,18.413442238370603,1121001018,-1.0,,"(-3,-1)|(-2,-1)"
46,1.172298857142857,10108.57142857143,169860.27591371041,0.0,-0.3491973569918635,0.0202769903189218,17.22136034488335,1121001018,-1.0,,"(-3,-1)|(-2,-1)"
47,1.1799564245810055,9988.826815642458,55909.010619943394,0.0,-0.9371408835089539,0.014901791426946915,62.88780030931863,1121001018,-1.0,,"(-3,-1)|(-2,-1)"
48,1.1870417061611374,10109.004739336493,117220.14928679873,0.0,-1.2625009780814225,0.04771105734364741,26.461391727037903,1121001018,-1.0,,"(-3,-1)|(-2,-1)"
49,1.194620359281437,9796.407185628743,83687.6057236209,0.0,-2.930018544760368,1.2091906314186025,2.423123756196257,1121001018,-1.0,,"(-3,-1)|(-2,-1)"
51,1.2074299999999996,9990.90909090909,116806.36860617345,0.0,-1.457190534292907,0.6289975185404126,2.3166872544653505,1121001018,-1.0,,"(-3,-1)|(-2,-1)"
54,1.2259389830508478,10644.06779661017,22412.673612933522,0.0,1.3561274526022533,0.1513967025105723,8.957443789157512,1121001018,-1.0,,"(-3,-1)|(-2,-1)"
