burst_id,dominant_time_s,dominant_freq_hz,omega_star_e_q1,omega_star_i_q1,omega_tor_q1,omega_tor_q1_err,omega_tor_q1_snr,shot,target_n,target_m,target_mode_label
2,0.7164410810810811,8800.0,-18213.407025490626,28858.21883293259,5.243172103727067,0.32989529130316575,15.893443289279082,1140729030,1.0,2.0,"(2,1)"
8,0.7776867132867133,13716.783216783217,28457.251758235412,35902.96541612378,6.809941829409554,0.24079903291648522,28.280602903299044,1140729030,1.0,2.0,"(2,1)"
9,0.793525625,13496.875,-147911.8430966736,38208.53770211064,7.079477946466029,0.23780607211392546,29.76996290941836,1140729030,1.0,2.0,"(2,1)"
10,0.8098727626459143,14591.439688715953,-69015.85633106058,45000.883742789796,7.400431911485178,0.23444712859060526,31.56546192727279,1140729030,1.0,2.0,"(2,1)"
12,0.8418509174311927,13931.19266055046,-42778.74833089023,42039.83300945597,7.781467178552815,0.229320893008277,33.93265688299912,1140729030,1.0,2.0,"(2,1)"
15,0.8933903225806451,15172.043010752688,-59656.25719811738,40101.10868817284,8.304906626280559,0.22199883684943353,37.40968531251001,1140729030,1.0,2.0,"(2,1)"
16,0.9078231292517008,3605.4421768707484,-73018.85291063733,42776.19781151257,8.558450822697502,0.21965185131695933,38.9637090303764,1140729030,1.0,2.0,"(2,1)"
17,0.9119075268817204,14763.440860215054,-72682.25808911433,42826.574391424154,8.624871243894304,0.21899914848253946,39.38312684618477,1140729030,1.0,2.0,"(2,1)"
18,0.9298976,14548.0,-67842.58998972226,40838.03712074974,8.827080666671835,0.21672566579945302,40.729281574061325,1140729030,1.0,2.0,"(2,1)"
27,1.0392940639269408,14666.666666666666,-60237.96216352644,38958.83358210322,8.647730295423123,0.21872826813046917,39.53640912232177,1140729030,1.0,2.0,"(2,1)"
28,1.0550014285714286,15246.42857142857,-114001.98207369828,48591.87597233492,8.529390105389771,0.22017683199831045,38.738817467658095,1140729030,1.0,2.0,"(2,1)"
37,1.1781201550387599,14189.922480620155,-28098.787373886356,38705.240094064226,8.797979895423014,0.21800583894880915,40.35662502364858,1140729030,1.0,2.0,"(2,1)"
52,1.4766663212435234,14968.911917098445,-45852.12654724209,41498.149143395065,9.133091865586522,0.24163956824079091,37.79634242884222,1140729030,1.0,2.0,"(2,1)"
